Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e922cfb7,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01870229,维管植物门,水龙骨目,碗蕨科,鳞盖蕨属,Microlepia hookeriana (Wall. ex Hook.) C.Presl,虎克鳞盖蕨,Wei Ran,20100104.0,蒋日红等,016,20090916.0,中国 广西壮族自治区,460,山坡，疏林，瘠土,有孢子囊
e953de5d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01847007,维管植物门,蔷薇目,荨麻科,冷水花属,Pilea angulata Blume subsp. petiolaris (Sieb.et Zucc.)C.J.Chen,长柄冷水花,林祁,20100702.0,刘正宇,1802,19940626.0,中国 重庆市,740,溪边,有花无果
e92cc55c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01865346,维管植物门,毛茛目,毛茛科,乌头属,Aconitum pilopetalum W.T.Wang & L.Q.Li,毛瓣乌头,罗艳,200108.0,罗艳,355,20010829.0,中国 四川省,3300~3700,路旁杂草丛中,有花无果
e954cad7,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01846572,维管植物门,蔷薇目,荨麻科,冷水花属,Pilea cavaleriei Leveille,波缘冷水花,林祁,20100524.0,李光照,13580,19931202.0,中国 广西壮族自治区,140,石灰岩 山坡,有花无果
e9339d52,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01862093,维管植物门,壳斗目,壳斗科,柯属,Lithocarpus iteaphyllus (Hance) Rehder,鼠刺叶柯,李安仁,20101100.0,青藏队,11957,19830710.0,中国 四川省,2400.0,常绿阔叶林中,无花有果
e92cd649,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01865315,维管植物门,毛茛目,毛茛科,乌头属,Aconitum brachypodum Diels,短柄乌头,罗艳,200208.0,"罗艳,陈又生",508,20020828.0,中国 四川省,3900,草边岩石缝中,有花无果
e9233d30,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01869834,维管植物门,蔷薇目,荨麻科,冷水花属,Pilea notata C.H.Wright,冷水花,王文采,20120312.0,"张兵,向新",090610041,20090610.0,中国 湖南省,392,沟谷,有花无果
e92db296,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864908,维管植物门,蔷薇目,蔷薇科,假升麻属,Aruncus sylvester Kostel.,假升麻,谷粹芝,201102.0,植物园-古蔺考察队,GL031,20090530.0,中国 四川省,1415~1420,山谷，公路边,有花无果
e91c3478,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01873157,维管植物门,冬青目,青荚叶科,青荚叶属,Helwingia himalaica Hook.f. & Thoms. ex C.B.Clarke,西域青荚叶,赖阳均,20110923.0,巴山采集队,5478,20110711.0,中国 四川省,1475,路边,无花有果
e919e675,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01878017,维管植物门,杜鹃花目,山茶科,山茶属,Camellia oleifera Wall.,油茶,S.Y.Yang,20110324.0,刘正宇,180992,20070930.0,中国 重庆市,280,溪边针叶林下,有花无果
