Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e96f8b6a,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833963,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa multiflora C.P.Thunberg ex A.Murray,野蔷薇,谷粹芝,20090216.0,任再金,1-3722,19930516.0,中国 四川省,2450.0,路旁沟边,有花无果
e96f9749,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833900,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla macrosepala Cardot,大花委陵菜,谷粹芝,20090112.0,韩裕丰等,81-1240,19810714.0,中国 云南省,3500.0,冷杉林采伐跡地,有花无果
e96f8c80,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833960,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa soulieana Crip.,川滇蔷薇,谷粹芝,20090216.0,任再金,1-3765,19930523.0,中国 四川省,2400.0,路旁灌丛中,有花无果
e96f8d99,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833959,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa roxburghii Sweet.,缫丝花,谷粹芝,20090216.0,刘正宇,1-3869,19930613.0,中国 四川省,2000.0,路边,有花无果
e96f8eab,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833956,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sericea Lindl.,绢毛蔷薇,谷粹芝,20090216.0,任再金,1-3728,19930516.0,中国 四川省,2450.0,路边,无花有果
e96f8bf3,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833961,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa soulieana Crip.,川滇蔷薇,谷粹芝,20090217.0,任再金,1-672,19820614.0,中国 西藏自治区,1700.0,路边灌丛中,有花无果
e96f8d0f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833958,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa roxburghii Sweet.,缫丝花,谷粹芝,20090217.0,刘正宇,17208,19960523.0,中国 重庆市,680.0,溪边,有花无果
e96f8f33,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833954,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sericea Lindl.,绢毛蔷薇,谷粹芝,20090216.0,任再金,1-3687,19930507.0,中国 四川省,1600.0,路边,有花无果
e96f8e22,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833957,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sericea Lindl.,绢毛蔷薇,谷粹芝,20090216.0,任再金,3728,19930516.0,中国 四川省,2450.0,路边,无花有果
e96f9636,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833903,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla macrosepala Cardot,大花委陵菜,谷粹芝,20090105.0,,13235,19760729.0,中国 四川省,3800.0,草坡路旁,有花无果
e96f9045,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833953,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sericea Lindl.,绢毛蔷薇,谷粹芝,20090216.0,张超,20070868,20070614.0,中国 四川省,1600.0,路边林中,有花无果
e96f9a08,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833894,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla ancistrifolia Galeotti ex Lehm.,皱叶委陵菜,谷粹芝,20080700.0,植物资源考察队,D0499,19840621.0,中国 河南省,,,有花无果
e96f8fbc,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833955,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sericea Lindl.,绢毛蔷薇,谷粹芝,20090216.0,任再金,1-3836,19930603.0,中国 四川省,2060.0,小路边,有花无果
e96f96c0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01833901,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla macrosepala Cardot,大花委陵菜,谷粹芝,20090112.0,田效文等,943,19810825.0,中国 云南省,3210.0,草甸草场，山坡,有花无果
